row_id,file_name,speaker,line_no,utterance_index_raw,prediction_status,labels_or_clean,n_labels,input,model_prediction,uncertainty_mean_token_logprob,uncertainty_min_token_logprob,uncertainty_mean_token_margin,uncertainty_min_token_margin,review_decision,notes,uncertainty_review_flag,uncertainty_review_rule
1,1060_3G1.cha,1060,9,0,TAGGED,[* m:irr:ed],1,&~descib my topic is describe your favorite meal from your childhood .,&~descib my topic is describe [:: describe] [* m:irr:ed] your favorite meal from your childhood .,-16.731487433115642,-29.250038146972656,6.375,0.0,,,MANUAL_REVIEW,TAGGED_MIN_MARGIN_LT_1.4375
2,1060_3G1.cha,1060,12,1,CLEAN,CLEAN,0,we know as &~s a young [/] young child my <favorite food was &~or or> [//] favorite meal was hamburgers .,we know as &~s a young [/] young child my <favorite food was &~or or> [//] favorite meal was hamburgers .,-17.059421907152448,-25.218761444091797,6.7839285714285715,0.25,,,AUTO_ACCEPT,NON_TAGGED_MIN_MARGIN_GTE_0.125
3,1060_3G1.cha,1060,15,2,CLEAN,CLEAN,0,&-uh I like hamburgers because it's usually the fast food that I ate all the time .,&-uh I like hamburgers because it's usually the fast food that I ate all the time .,-17.21216286250523,-30.281381607055664,7.085714285714285,0.625,,,AUTO_ACCEPT,NON_TAGGED_MIN_MARGIN_GTE_0.125
4,1060_3G1.cha,1060,18,3,CLEAN,CLEAN,0,so the &~ingodu ingredients it was ah two pieces of bread a beef a lettuce tomatoes an onion and a little bit of ketchup an(d) mayonnaise .,so the &~ingodu ingredients it was ah two pieces of bread a beef a lettuce tomatoes an onion and a little bit of ketchup an(d) mayonnaise .,-0.01848892657194808,-0.4054383933544159,8.216071428571428,1.125,,,AUTO_ACCEPT,NON_TAGGED_MIN_MARGIN_GTE_0.125
5,1060_3G1.cha,1060,21,4,CLEAN,CLEAN,0,hamburgers for me it's the ah special [/] &~mea special main dish .,hamburgers for me it's the ah special [/] &~mea special main dish .,-7.764286002372617,-28.81250762939453,5.936773255813954,0.25,,,AUTO_ACCEPT,NON_TAGGED_MIN_MARGIN_GTE_0.125
6,1060_3G1.cha,1060,24,5,TAGGED,[* m:03s:a],1,so usually <my mum> [/] my mum advise me &~s &~n that she said to me that it's very bad and [/] and not good for health .,so usually <my mum> [/] my mum advise [:: advises] [* m:03s:a] me &~s &~n that she said to me that it's very bad and [/] and not good for health .,-18.061084906260174,-26.82040786743164,7.704166666666667,2.75,,,AUTO_ACCEPT,TAGGED_MIN_MARGIN_GTE_1.4375
7,1060_3G1.cha,1060,27,6,NON_TAGGED_CHANGED,CLEAN,0,but usually she made it for me in the home hamburger as at any restaurant that they made hamburger that I like .,but usually she made it for me in the home hamburger as at any restaurant that they made hamburger that I like .,-17.046230537946833,-29.171876907348633,7.28343023255814,0.0625,,,MANUAL_REVIEW,NON_TAGGED_MIN_MARGIN_LT_0.125
8,1060_3G1.cha,1060,30,7,CLEAN,CLEAN,0,&-uh ham [///] it's [//] eating fast food it's [/] it's a bad benefit because it's [/] it's <bad for health and> [/] and ah bad for health .,&-uh ham [///] it's [//] eating fast food it's [/] it's a bad benefit because it's [/] it's <bad for health and> [/] and ah bad for health .,-0.024832072277879275,-0.6963573098182678,7.27906976744186,0.375,,,AUTO_ACCEPT,NON_TAGGED_MIN_MARGIN_GTE_0.125
9,1060_3G1.cha,1060,33,8,CLEAN,CLEAN,0,and it's will make for you some trouble in your body .,and it's will make for you some trouble in your body .,-17.174323186641786,-31.406251907348633,6.945121951219512,1.375,,,AUTO_ACCEPT,NON_TAGGED_MIN_MARGIN_GTE_0.125
10,1060_3G1.cha,1060,36,9,TAGGED,[* s:r:der],1,<so my> [///] so it's [/] &~ver it's [/] &~signi it's very significant to [/] to [/] to stop eating this kind of food .,<so my> [///] so it's [/] &~ver it's [/] &~signi [:: significant] [* s:r:der] to [/] to [/] to stop eating this kind of food .,-0.022102874426392107,-0.4996260106563568,6.943181818181818,0.5,,,MANUAL_REVIEW,TAGGED_MIN_MARGIN_LT_1.4375
