run_name,min_support_each_split,n_overlap_labels,pearson,spearman
acl_rr_exp1_direct_stage3_seed3407,5,0,,
acl_rr_exp1_direct_stage3_seed3407,10,0,,
acl_rr_exp1_direct_stage3_seed3407,20,0,,
acl_rr_exp2_abs_nonword_seed3407,5,4,-0.21860377540076725,-0.39999999999999997
acl_rr_exp2_abs_nonword_seed3407,10,3,0.5649950799373924,0.5
acl_rr_exp2_abs_nonword_seed3407,20,0,,
acl_rr_exp2_abs_off_no_recon_seed3407,5,4,-0.7629624245735622,-0.9486832980505139
acl_rr_exp2_abs_off_no_recon_seed3407,10,3,-0.7679881673845753,-0.8660254037844387
acl_rr_exp2_abs_off_no_recon_seed3407,20,0,,
acl_rr_exp2_abs_on_manual_seed3407,5,0,,
acl_rr_exp2_abs_on_manual_seed3407,10,0,,
acl_rr_exp2_abs_on_manual_seed3407,20,0,,
acl_rr_exp4_unseen_tags_seed3407,5,0,,
acl_rr_exp4_unseen_tags_seed3407,10,0,,
acl_rr_exp4_unseen_tags_seed3407,20,0,,
