split,seed,row_id,input,gold,nonword_only,preserve,gold_tags,nonword_only_tags,preserve_tags
test_real,3407,1485,the elephant slip .,the elephant slip [:: slipped] [* m:03s:a] .,the elephant slip [* m:03s:a] .,the elephant slip [:: slipped] [* m:irr:en] .,[* m:03s:a],[* m:03s:a],[* m:irr:en]
test_real,3407,1503,another elephant come along .,another elephant come [:: comes] [* m:03s:a] along .,another elephant come [* m:03s:a] along .,another elephant come [:: came] [* m:irr:en] along .,[* m:03s:a],[* m:03s:a],[* m:irr:en]
test_real,3407,1810,and he slip !,and he slip [:: slips] [* m:03s:a] !,and he slip [* m:03s:a] !,and he slip [:: slipped] [* m:irr:en] !,[* m:03s:a],[* m:03s:a],[* m:irr:en]
test_real,3407,1823,then he hurt hisself .,then he hurt hisself [: himself] [* s:r:der] .,then he hurt hisself [: himself] [* s:r:der] .,then he hurt hisself [: himself] [* m:++s] .,[* s:r:der],[* s:r:der],[* m:++s]
test_real,3407,2072,and then &-um the bunny rabbit's grandma came .,and then &-um the bunny rabbit's grandma came .,and then &-um the bunny rabbit's grandma came .,and then &-um the bunny rabbit's [* m:03s:a] grandma came .,,,[* m:03s:a]
test_real,3407,3207,and so they build it and build it and build it until there was no castle (be)cause somebody moved it in to apartment building .,and so they build it and build it and build it until there was no castle (be)cause somebody moved it in to apartment building .,and so they build it and build it and build it until there was no castle (be)cause somebody moved it in to apartment building .,and so they build it and build it and build it until there was no castle (be)cause somebody moved it in to [:: into] [* s:r:prep] apartment building .,,,[* s:r:prep]
test_real,3407,3465,then he said hello to missus ballooner .,then he said hello to missus ballooner .,then he said hello to missus [: missus]  balloon  ballooner  balloonier  ballooner  ballooner  ballooner  ballooner  ballooner  ballooner  ballooner  ballooner  ballooner  ballooner  ballooner  ballooner  ballooner  ballooner  ballooner  ballooner  ballooner  ballooner  ballooner  ballooner  ballooner  ballooner  ballooner  ballooner  ballooner  balloon,then he said hello to missus [: missus] [* m:++s] ballooner .,,,[* m:++s]
test_real,3407,3881,and the dog hold the rabbit .,and the dog hold [:: holds] [* m:03s:a] the rabbit .,and the dog hold [* m:03s:a] the rabbit .,and the dog hold [:: held] [* m:irr:en] the rabbit .,[* m:03s:a],[* m:03s:a],[* m:irr:en]
test_real,3407,4350,and the dog get angry back there .,and the dog get [:: gets] [* m:03s:a] angry back there .,and the dog get [* m:03s:a] angry back there .,and the dog get [:: got] [* m:vsg:a] angry back there .,[* m:03s:a],[* m:03s:a],[* m:vsg:a]
test_real,3407,4622,then he takes some milk .,then he takes some milk .,then he takes some milk .,then he takes [:: take] [* m:03s:a] some milk .,,,[* m:03s:a]
test_real,3407,4753,and he needta do something .,and he needta [:: needs] [* m:03s:a] do something .,and he needta [* m:03s:a] do something .,and he needta [: need to] [* m:+en] do something .,[* m:03s:a],[* m:03s:a],[* m:+en]
test_real,3407,5366,and then he was happy that he got his airplane the giraffe .,and then he was happy that he got his airplane the giraffe .,and then he was happy that he got his airplane the giraffe .,and then he was happy that he got his [:: her] [* s:r:gc:det] airplane the giraffe .,,,[* s:r:gc:det]
test_real,3407,5443,and the horsie's sad .,and the horsie's sad .,and the horsie's sad .,and the horsie's [:: horse's] [* m:0's] sad .,,,[* m:0's]
test_real,3407,5494,and then hers stayed on .,and then hers stayed on .,and then hers stayed on .,and then hers [:: her] [* s:r:gc:det] stayed on .,,,[* s:r:gc:det]
test_real,3407,5556,and now they got the ball back .,and now they got the ball back .,and now they got the ball back .,and now they got [:: got] [* m:vsg:a] the ball back .,,,[* m:vsg:a]
test_real,3407,5621,the giraffe always get wet .,the giraffe always get [:: gets] [* m:03s:a] wet .,the giraffe always get [* m:03s:a] wet .,the giraffe always get [:: gets] [* m:vsg:a] wet .,[* m:03s:a],[* m:03s:a],[* m:vsg:a]
test_real,3407,6273,the balance beam was in the front .,the balance beam was in the front .,the balance beam was in the front .,the balance [:: balancing] [* m:0's] beam was in the front .,,,[* m:0's]
test_real,3407,6317,givin the airplane to somebody in the &+f fall .,givin(g) the airplane to somebody in the &+f fall .,givin the airplane to somebody in the &-f fall .,givin [: giving] [* m:=ed] the airplane to somebody in the &-f fall .,,,[* m:=ed]
test_real,3407,6478,the store person is angry at him .,the store person is angry at him .,the store person is angry at him .,the store person [:: employee] [* m:0's] is angry at him .,,,[* m:0's]
test_real,3407,6615,and the elephant wanted to come and show them his practice at the circus .,and the elephant wanted to come and show them his practice at the circus .,and the elephant wanted to come and show them his practice at the circus .,and the elephant wanted to come and show them his [:: their] [* s:r:gc:det] practice at the circus .,,,[* s:r:gc:det]
test_real,3407,6639,and then there was a giraffe &+com coming by .,and then there was a giraffe &+com coming by .,and then there was a giraffe &-com coming by .,and then there was a giraffe &-com [:: came] [* m:03s:a] coming by .,,,[* m:03s:a]
test_real,3408,2542,there was no more number fives .,there was no more number fives .,there was no more number fives .,there was no more [:: another] [* m:base:s] number fives .,,,[* m:base:s]
test_real,3408,2874,so Michael got out his stuff for his picnic .,so Michael got out his stuff for his picnic .,so Michael got out his stuff for his picnic .,so Michael got out his [:: his] [* m:base:s] stuff for his picnic .,,,[* m:base:s]
test_real,3408,3146,but then they hadta make it all over again .,but then they hadta [: had to] make it all over again .,but then they hadta [: had to]  make it all over again .,but then they hadta [: had to] [* m:=en] make it all over again .,,,[* m:=en]
test_real,3408,3207,and so they build it and build it and build it until there was no castle (be)cause somebody moved it in to apartment building .,and so they build it and build it and build it until there was no castle (be)cause somebody moved it in to apartment building .,and so they build it and build it and build it until there was no castle (be)cause somebody moved it in to apartment building .,and so they build it and build it and build it until there was no castle (be)cause somebody moved it in to [:: into] [* s:r:prep] apartment building .,,,[* s:r:prep]
test_real,3408,4479,&-uh well she hadta sit down so it could feel better .,&-uh well she hadta [: had to] sit down so it could feel better .,&-uh well she hadta sit down so it could feel better .,&-uh well she hadta sit [:: sit] [* m:0ing] down so it could feel better .,,,[* m:0ing]
test_real,3408,6317,givin the airplane to somebody in the &+f fall .,givin(g) the airplane to somebody in the &+f fall .,givin the airplane to somebody in the &-f fall .,givin [: giving] [* m:=ed] the airplane to somebody in the &-f fall .,,,[* m:=ed]
test_real,3408,6526,family's going into the store and buying stuff for his dad .,family's going into the store and buying stuff for his dad .,family's going into the store and buying stuff for his dad .,family's going into the store and buying stuff for his [:: their] [* s:r:gc:pro] dad .,,,[* s:r:gc:pro]
test_real,3408,6615,and the elephant wanted to come and show them his practice at the circus .,and the elephant wanted to come and show them his practice at the circus .,and the elephant wanted to come and show them his practice at the circus .,and the elephant wanted to come and show them his [:: her] [* s:r:gc:pro] practice at the circus .,,,[* s:r:gc:pro]
test_real,3409,1387,and he take all the sand off .,and he take [:: takes] [* m:03s:a] all the sand off .,and he take [* m:03s:a] all the sand off .,and he take [:: takes] [* m:vun:a] all the sand off .,[* m:03s:a],[* m:03s:a],[* m:vun:a]
test_real,3409,1503,another elephant come along .,another elephant come [:: comes] [* m:03s:a] along .,another elephant come [* m:03s:a] along .,another elephant come [:: comes] [* m:vun:a] along .,[* m:03s:a],[* m:03s:a],[* m:vun:a]
test_real,3409,1669,and it go in the water .,and it go [:: goes] [* m:03s:a] in the water .,and it go [* m:03s:a] in the water .,and it go [:: goes] [* m:vun:a] in the water .,[* m:03s:a],[* m:03s:a],[* m:vun:a]
test_real,3409,1762,so he got a &+nn and then she cried because nothing can be doed about it .,so he got a &+nn and then she cried because nothing can be doed [: done] [* m:=ed] about it .,so he got a &-nn and then she cried because nothing can be doed [: done] [* m:=ed] about it .,so he got a &-nn and then she cried because nothing can be doed [: done] [* m:++en:i] about it .,[* m:=ed],[* m:=ed],[* m:++en:i]
test_real,3409,1810,and he slip !,and he slip [:: slips] [* m:03s:a] !,and he slip [* m:03s:a] !,and he slip [:: slip] [* m:+ed] !,[* m:03s:a],[* m:03s:a],[* m:+ed]
test_real,3409,1947,now he get the ball .,now he get [:: gets] [* m:03s:a] the ball .,now he get [* m:03s:a] the ball .,now he get [:: gets] [* m:vun:a] the ball .,[* m:03s:a],[* m:03s:a],[* m:vun:a]
test_real,3409,2369,he tell him .,he tell [:: told] [* m:03s:a] him .,he tell [* m:03s:a] him .,he tell [:: tells] him .,[* m:03s:a],[* m:03s:a],
test_real,3409,2542,there was no more number fives .,there was no more number fives .,there was no more number fives .,there was no more [:: any] [* s:r:prep] number fives .,,,[* s:r:prep]
test_real,3409,3162,and then they hafta build it all over again .,and then they hafta [: have to] build it all over again .,and then they hafta [: have to]  build it all over again .,and then they hafta [: have to] [* m:+en] build it all over again .,,,[* m:+en]
test_real,3409,3207,and so they build it and build it and build it until there was no castle (be)cause somebody moved it in to apartment building .,and so they build it and build it and build it until there was no castle (be)cause somebody moved it in to apartment building .,and so they build it and build it and build it until there was no castle (be)cause somebody moved it in to apartment building .,and so they build it and build it and build it until there was no castle (be)cause somebody moved it in to [:: into] [* s:r:prep] apartment building .,,,[* s:r:prep]
test_real,3409,3881,and the dog hold the rabbit .,and the dog hold [:: holds] [* m:03s:a] the rabbit .,and the dog hold [* m:03s:a] the rabbit .,and the dog hold [:: holds] [* m:vun:a] the rabbit .,[* m:03s:a],[* m:03s:a],[* m:vun:a]
test_real,3409,4622,then he takes some milk .,then he takes some milk .,then he takes some milk .,then he takes [:: take] [* m:+3s:a] some milk .,,,[* m:+3s:a]
test_real,3409,4722,there's strangers .,there's strangers .,there's strangers .,there's strangers [: stranger] [* m:++s] .,,,[* m:++s]
test_real,3409,4757,then he just give it to the boy who had it .,then he just give [:: gave] [* m:03s:a] it to the boy who had it .,then he just give [* m:03s:a] it to the boy who had it .,then he just give [:: gave] [* m:sub:ed] it to the boy who had it .,[* m:03s:a],[* m:03s:a],[* m:sub:ed]
test_real,3409,5499,and the other &-um elephant came .,and the other &-um elephant came .,and the other &-um elephant came .,and the other &-um [:: an] [* m:allo] elephant came .,,,[* m:allo]
test_real,3409,6317,givin the airplane to somebody in the &+f fall .,givin(g) the airplane to somebody in the &+f fall .,givin the airplane to somebody in the &-f fall .,givin [: giving] [* m:++ed:i] the airplane to somebody in the &-f fall .,,,[* m:++ed:i]
test_real,3409,6478,the store person is angry at him .,the store person is angry at him .,the store person is angry at him .,the store person [:: employee] [* m:irr:s] is angry at him .,,,[* m:irr:s]
test_real,3409,6615,and the elephant wanted to come and show them his practice at the circus .,and the elephant wanted to come and show them his practice at the circus .,and the elephant wanted to come and show them his practice at the circus .,and the elephant wanted to come and show them his [:: her] [* s:r:gc:det] practice at the circus .,,,[* s:r:gc:det]
test_real,3409,6639,and then there was a giraffe &+com coming by .,and then there was a giraffe &+com coming by .,and then there was a giraffe &-com coming by .,and then there was a giraffe &-com [:: came] [* m:03s:a] by .,,,[* m:03s:a]
