run_name,experiment,system_key,split,trace_method,error_count,n,exact_text_accuracy,exact_tag_accuracy,primary_tag_accuracy,pred_error_rate,gold_error_rate,syntax_validity_rate
recon_full_comp_nonword_only_seed3407,unknown,recon_full_comp_nonword_only,holdout_generalization,curated_synthetic_exact,1,112,0,0,0,0.991071,1,1
recon_full_comp_nonword_only_seed3407,unknown,recon_full_comp_nonword_only,holdout_generalization,curated_synthetic_input,1,423,0,0,0,0.534279,1,1
recon_full_comp_nonword_only_seed3407,unknown,recon_full_comp_nonword_only,holdout_generalization,synthetic_no_real_match,1,55,0,0,0,0.2,1,1
recon_full_comp_nonword_only_seed3407,unknown,recon_full_comp_nonword_only,holdout_generalization,synthetic_no_real_match,2,1,0,0,0,1,1,1
recon_full_comp_preserve_final_seed3407,unknown,recon_full_comp_preserve_final,eval_coverage,curated_synthetic_exact,1,126,0.801587,0.880952,0.888889,0.968254,1,1
recon_full_comp_preserve_final_seed3407,unknown,recon_full_comp_preserve_final,eval_coverage,curated_synthetic_exact,2,5,0.2,0.2,0.6,1,1,1
recon_full_comp_preserve_final_seed3407,unknown,recon_full_comp_preserve_final,eval_coverage,curated_synthetic_input,1,160,0.91875,0.94375,0.94375,0.9875,1,1
recon_full_comp_preserve_final_seed3407,unknown,recon_full_comp_preserve_final,eval_coverage,curated_synthetic_input,2,5,0.4,0.4,0.8,1,1,1
recon_full_comp_preserve_final_seed3407,unknown,recon_full_comp_preserve_final,eval_coverage,synthetic_no_real_match,0,10,0.9,1,0,0,0,1
recon_full_comp_preserve_final_seed3407,unknown,recon_full_comp_preserve_final,eval_coverage,synthetic_no_real_match,1,59,0.728814,0.813559,0.813559,0.949153,0.983051,1
recon_full_comp_preserve_final_seed3407,unknown,recon_full_comp_preserve_final,eval_coverage,synthetic_no_real_match,2,4,0.5,0.5,0.75,0.75,1,1
recon_full_comp_preserve_final_seed3407,unknown,recon_full_comp_preserve_final,eval_coverage,synthetic_no_real_match,3,1,0,0,1,1,1,1
recon_full_comp_preserve_final_seed3407,unknown,recon_full_comp_preserve_final,holdout_generalization,curated_synthetic_exact,1,112,0.294643,0.294643,0.294643,0.982143,1,1
recon_full_comp_preserve_final_seed3407,unknown,recon_full_comp_preserve_final,holdout_generalization,curated_synthetic_input,1,423,0,0,0,0.491726,1,1
recon_full_comp_preserve_final_seed3407,unknown,recon_full_comp_preserve_final,holdout_generalization,synthetic_no_real_match,1,55,0,0,0,0.181818,1,1
recon_full_comp_preserve_final_seed3407,unknown,recon_full_comp_preserve_final,holdout_generalization,synthetic_no_real_match,2,1,0,0,0,1,1,1
recon_full_comp_preserve_final_seed3407,unknown,recon_full_comp_preserve_final,test_coverage,curated_synthetic_exact,1,126,0.84127,0.920635,0.928571,0.968254,1,1
recon_full_comp_preserve_final_seed3407,unknown,recon_full_comp_preserve_final,test_coverage,curated_synthetic_exact,2,8,0.25,0.625,0.625,1,1,1
recon_full_comp_preserve_final_seed3407,unknown,recon_full_comp_preserve_final,test_coverage,curated_synthetic_input,1,162,0.907407,0.95679,0.95679,0.981481,1,1
recon_full_comp_preserve_final_seed3407,unknown,recon_full_comp_preserve_final,test_coverage,curated_synthetic_input,2,2,0,0,0.5,1,1,1
recon_full_comp_preserve_final_seed3407,unknown,recon_full_comp_preserve_final,test_coverage,synthetic_no_real_match,0,10,0.8,0.8,0,0.2,0,1
recon_full_comp_preserve_final_seed3407,unknown,recon_full_comp_preserve_final,test_coverage,synthetic_no_real_match,1,59,0.728814,0.864407,0.881356,0.966102,1,1
recon_full_comp_preserve_final_seed3407,unknown,recon_full_comp_preserve_final,test_coverage,synthetic_no_real_match,2,3,0,0,0.666667,0.666667,1,1
