run_name,experiment,system_key,seed,split,row_id,input,provenance_label,trace_method,trace_ambiguous,source_file_count,error_count,gold_has_error,pred_has_error,exact_text_match,exact_tag_match,primary_tag_correct,gold_primary_tag,pred_primary_tag,gold_tag_count,pred_tag_count,syntax_valid,invalid_label_count,reconstruction_presence_match,reconstruction_signature_match
acl_rr_exp1_direct_stage3_seed3407,exp1,acl_rr_exp1_direct_stage3,3407,holdout_generalization,1007,This city is more bigger than mine .,synthetic,curated_synthetic_input,0,1,1,1,1,0,0,0,[* m:++er],[* m:base:er],1,1,1,0,1,0
acl_rr_exp1_direct_stage3_seed3407,exp1,acl_rr_exp1_direct_stage3,3407,holdout_generalization,1008,My new phone is more cheaper than the old one .,synthetic,curated_synthetic_input,0,1,1,1,1,0,0,0,[* m:++er],[* m:base:er],1,1,1,0,1,0
acl_rr_exp1_direct_stage3_seed3407,exp1,acl_rr_exp1_direct_stage3,3407,holdout_generalization,1009,English is more easier for me now .,synthetic,curated_synthetic_input,0,1,1,1,1,0,0,0,[* m:++er],[* m:base:er],1,1,1,0,1,0
acl_rr_exp1_direct_stage3_seed3407,exp1,acl_rr_exp1_direct_stage3,3407,holdout_generalization,1010,The plane is more faster than the train .,synthetic,curated_synthetic_input,0,1,1,1,1,0,0,0,[* m:++er],[* m:base:er],1,1,1,0,1,0
acl_rr_exp1_direct_stage3_seed3407,exp1,acl_rr_exp1_direct_stage3,3407,holdout_generalization,1011,This book is more better than that one .,synthetic,curated_synthetic_input,0,1,1,1,1,0,0,0,[* m:++er],[* m:base:er],1,1,1,0,1,0
acl_rr_exp1_direct_stage3_seed3407,exp1,acl_rr_exp1_direct_stage3,3407,holdout_generalization,1012,The weather is more hotter today .,synthetic,curated_synthetic_input,0,1,1,1,1,0,0,0,[* m:++er],[* m:base:er],1,1,1,0,1,0
acl_rr_exp1_direct_stage3_seed3407,exp1,acl_rr_exp1_direct_stage3,3407,holdout_generalization,1013,His house is more larger than ours .,synthetic,curated_synthetic_input,0,1,1,1,1,0,0,0,[* m:++er],[* m:base:er],1,1,1,0,1,0
acl_rr_exp1_direct_stage3_seed3407,exp1,acl_rr_exp1_direct_stage3,3407,holdout_generalization,1014,This task is more simpler to do .,synthetic,curated_synthetic_input,0,1,1,1,1,0,0,0,[* m:++er],[* m:base:er],1,1,1,0,1,0
acl_rr_exp1_direct_stage3_seed3407,exp1,acl_rr_exp1_direct_stage3,3407,holdout_generalization,1015,My brother is more taller than me .,synthetic,curated_synthetic_input,0,1,1,1,1,0,0,0,[* m:++er],[* m:base:er],1,1,1,0,1,0
acl_rr_exp1_direct_stage3_seed3407,exp1,acl_rr_exp1_direct_stage3,3407,holdout_generalization,1016,The food here is more tastier .,synthetic,curated_synthetic_input,0,1,1,1,1,0,0,0,[* m:++er],[* m:base:er],1,1,1,0,1,0
acl_rr_exp1_direct_stage3_seed3407,exp1,acl_rr_exp1_direct_stage3,3407,holdout_generalization,1017,I want a more smaller bag .,synthetic,curated_synthetic_input,0,1,1,1,1,0,0,0,[* m:++er],[* m:base:er],1,1,1,0,1,0
acl_rr_exp1_direct_stage3_seed3407,exp1,acl_rr_exp1_direct_stage3,3407,holdout_generalization,1018,The movie was more scarier than I thought .,synthetic,curated_synthetic_input,0,1,1,1,1,0,0,0,[* m:++er],[* m:base:er],1,1,1,0,1,0
acl_rr_exp1_direct_stage3_seed3407,exp1,acl_rr_exp1_direct_stage3,3407,holdout_generalization,1019,This street is more noisier at night .,synthetic,curated_synthetic_input,0,1,1,1,1,0,0,0,[* m:++er],[* m:base:er],1,1,1,0,1,0
acl_rr_exp1_direct_stage3_seed3407,exp1,acl_rr_exp1_direct_stage3,3407,holdout_generalization,1020,She is more prettier in person .,synthetic,curated_synthetic_input,0,1,1,1,1,0,0,0,[* m:++er],[* m:base:er],1,1,1,0,1,0
